twp_id,name,coords
18199,Mbuuni Hand-Dug Well 2 - 18199,"(38.3633, -1.4824399999999998)"
4790,Kithangaini Kithuluni Atui Well 1 - 4790,"(37.36993, -1.49859)"
4497,Musunguu Well 3 - 4497,"(37.47425, -1.557550000000001)"
4378,Itoo Well 2 - 4378,"(37.46000000000001, -1.560000000000009)"
4402,Watuka Village Hand-Dug Well - 4402,"(37.66341, -1.7375099999999988)"
4485,Masola Kaani Hand-Dug Well 1 - 4485,"(37.35109, -1.5254799999999995)"
18205,Decommissioned 2025 - Mbindi Hand-Dug Well 3 - 18205,"(38.35808, -1.50092)"
4866,Mitini Hand-Dug Well 1 - 4866,"(37.39075, -1.42052)"
18204,Kianguni Well 2 - 18204,"(37.56745, -1.57282)"
4810,Kee Well 2 - 4810,"(37.46188, -1.56157)"
4794,Mwanyani Well 2 - 4794,"(37.40997, -1.42387)"
18208,Kyeni kya Karuri Well 4 - 18208,"(38.10158, -0.7728599999999999)"
4784,Itatini Well 3 - 4784,"(37.55803, -1.59397)"
4787,Ivuka Well 1 - 4787,"(37.38448, -1.5216199999999995)"
4816,Kyalimba Well 2 - 4816,"(37.63403, -1.70038)"
4474,Vinya wa Mwau Hand-Dug Well 2 - 4474,"(37.55743, -1.5806200000001056)"
4380,Vinya wa Mwau Hand-Dug Well 1 - 4380,"(37.56, -1.5799999999999998)"
4825,Decommissioned 2024 - Musunguu Well 1 - 4825,"(37.47711000000001, -1.55675)"
4447,Itatini Well 1 - 4447,"(37.56, -1.59)"
4302,Decommissioned 2023 - Nzengu Nngomani Hand-Dug Well 1 - 4302,"(37.28707, -1.84066)"
18211,Katalwa Twooka Oyu Well 2 - 18211,"(38.11278, -1.03011)"
4792,Kisaila Well 2 - 4792,"(37.42079, -1.44063)"
18201,Ngwatanio ya Utui Wa Maluvyu Hand-Dug Well 2 - 18201,"(37.74174, -1.99535)"
4864,Kyumbe Women Hand-Dug Well 1 - 4864,"(37.34678, -1.4569199999999998)"
4314,Musunguu Well 2 - 4314,"(37.47070000000001, -1.5577)"
18210,Kyambasa Well - 18210,"(37.29446, -1.71619)"
4815,Kyalimba Well 1 - 4815,"(37.62098999999999, -1.71149)"
18212,Itatini Well 4 - 18212,"(37.55915999999999, -1.59322)"
18202,Kikaka Well 1 - 18202,"(37.50843, -1.6308899999999995)"
4493,Kithuani Well 2 - 4493,"(37.46497, -1.5771)"
4809,Kee Well 3 - 4809,"(37.6753, -1.57383)"
18214,Syakama Well 3 - 18214,"(37.75508, -1.94018)"
4481,Kyandwiki Well 1 - 4481,"(37.39, -1.46)"
4490,Maiuni Well - 4490,"(37.45192999999999, -1.54058)"
4786,Ndinesi Uu Well 1 - 4786,"(38.02018999999999, -0.77669)"
4475,Kilala North Well 1 - 4475,"(37.69788000000001, -1.5794699999999962)"
4448,Yavili Hand-Dug Well 1 - 4448,"(37.35, -1.51)"
4488,Yavili Hand-Dug Well 2 - 4488,"(37.51208, -1.9533599999999995)"
4455,Kyeni Kya Thwake Well - 4455,"(37.46000000000001, -1.5400000000000098)"
18203,Ndue Nguu Pamoja Hand-Dug Well 1 - 18203,"(37.60371, -1.80582)"
4791,Ikanga Well 1 - 4791,"(37.38506, -1.51738)"
18221,Katalwa Jipe Moyo Well 2 - 18221,"(38.10607, -1.03106)"
4780,Mbuuni Well 1 - 4780,"(37.36975, -1.49549)"
4456,Itoo Well 1 - 4456,"(37.46000000000001, -1.56)"
18206,Yangondi Hand-Dug Well 1 - 18206,"(38.07079, -1.05933)"
4315,Kithuani Well 1 - 4315,"(37.54593, -1.57496)"
4486,Itatini Well 2 - 4486,"(37.55999, -1.59303)"
4492,Vinya wa Mwau Hand-Dug Well 3 - 4492,"(37.55179, -1.56318)"
4776,Kyandwiki Well 2 - 4776,"(37.38709999999999, -1.4555999999999998)"
4788,Masola Kaani Hand-Dug Well 2 - 4788,"(37.35487, -1.52507)"
18213,Ngwatanio Ya Kinyongo Hand-Dug Well 1 - 18213,"(37.5071, -1.5856499999999998)"
4782,Mwanyani Well 1 - 4782,"(37.41203, -1.4278299999999997)"
18217,Kinyenyoni Kikuswi Well 1 - 18217,"(37.51556999999999, -1.5646599999999995)"
4482,Syakama Hand-Dug Well 1 - 4482,"(37.75, -1.94)"
4781,Syakama Well 2 - 4781,"(37.75474, -1.94448)"
4821,Kyeni Kya Syatu Well 1 - 4821,"(37.77343, -1.94953)"
4305,Wasya Wa Athi Hand-Dug Well 1 - 4305,"(37.86068, -1.8661400000000588)"
4403,Kwa Mwatu Kyangwasi Well 1 - 4403,"(37.82519, -1.886360000000061)"
4817,Kithaayoni Well 1 - 4817,"(37.84568, -1.8992299999999995)"
4304,Kithaayoni Well 2 - 4304,"(37.84355999999999, -1.8986300000000012)"
4813,Ulaani Kwa Katwa Well 1 - 4813,"(37.84794, -1.86953)"
4826,Decommissioned 2020 - Wuumisyo Wa Miangeni Well - 4826,"(37.87503, -2.01365)"
20998,Wasya Wa Athi SHG Well - 20998,"(37.84720000000001, -1.8565500000000008)"
4823,Kakima B Well 1 - 4823,"(37.79836, -1.83345)"
4824,Kakima B Well 2 - 4824,"(37.80313999999999, -1.84458)"
4449,Athiani Well 2 - 4449,"(38.1, -2.6)"
4029,Athiani Well 1 - 4029,"(38.10208999999999, -2.603299999999999)"
4812,Bodeni Women's Group Well - 4812,"(38.06153, -2.63058)"
4811,Isunguluni Mutomo Well 1 - 4811,"(38.08081, -2.63781)"
4818,New Soweto Well - 4818,"(38.07905, -2.6125899999999995)"
4031,Wuumisyo Wa Kiumoni Well - 4031,"(38.03813000000001, -2.550559999999999)"
4827,Kakai Well 1 - 4827,"(38.05183, -2.5805199999999995)"
4377,Kwa Mutunga Well 1 - 4377,"(37.73, -2.09)"
4484,Matoma Nyumba Kumi Hand-Dug Well 2 - 4484,"(37.59828999999999, -1.83767)"
4312,Matoma Nyumba Kumi Hand-Dug Well - 4312,"(37.59871, -1.83654)"
4476,Decommissioned 2020 - Ngao ya Kiome Hand-Dug Well 4476,"(37.57744999999999, -1.8870400000000616)"
4494,Kwa Mutunga Well 2 - 4494,"(37.72572, -2.08467)"
4303,Nzengu Nngomani Hand-Dug Well 2 - 4303,"(37.28508999999999, -1.8410799999999965)"
4379,Twone Mbee Muselele Well 2 - 4379,"(37.52598, -2.02)"
4311,Twone Mbee Muselele Well 1 - 4311,"(37.52598, -2.01797)"
4313,Kiluta Well 1 - 4313,"(37.51556, -1.9532099999999997)"
4867,Kakwa Well 1 - 4867,"(37.49587999999999, -1.90296)"
4820,Nyeki Ndune - 4820,"(37.95218, -2.3291699999999995)"
4489,Mbindi Hand-Dug Well 1 - 4489,"(37.05167, -1.50314)"
4634,Kyangundi Well 1 - 4634,"(37.462730000000015, -1.6100100000000093)"
4495,Kyeni kya Karuri Well 1 - 4495,"(38.1061, -0.77635)"
4477,Kyusyani Hand-Dug Well - 4477,"(38.09136000000001, -0.9803999999999976)"
4865,Katalwa Twooka Oyu Well 1 - 4865,"(38.11284, -1.02828)"
4499,Decommissioned 2020 - Kumina Waoni Well 1 - 4499,"(38.02179999, -2.329472222000081)"
4822,Mbaa Ngoka Well - 4822,"(37.7748, -1.95499)"
4785,Kithito Andu Akuu Ngaa Well 1 - 4785,"(37.5174, -1.59319)"
4793,Katalwa Jipe Moyo Well 1 - 4793,"(38.1109, -1.02015)"
4496,Tei wa Nzung'u Hand-Dug Well - 4496,"(38.11772199999999, -0.76058)"
4789,Twone Mbee Muselele Well 3 - 4789,"(37.4905367, -2.0158279)"
4498,Wasya Wa Athi Hand-Dug Well 2 - 4498,"(37.86455000000001, -1.865420000000011)"
4819,Vinya wa Kyangwasi Well - 4819,"(37.81799999999999, -1.8816900000000003)"
4795,Kyeni kya Karuri Well 3 - 4795,"(38.11078, -0.77642)"
4478,Decommissioned 2020 - Kyeni kya Maluini Well 1 - 4478,"(37.67937999999999, -1.5885300000000175)"
4777,Decommissioned 2024 - Mbindi Hand-Dug Well 2 - 4777,"(37.35325, -1.4986399999999998)"
4783,Tei wa Nzung'u Well 2 - 4783,"(38.11502, -0.75634)"
